Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
PROV921;Nigde;;;;;;;;;;;;;
PROV934;Diwaniyah;;;;;;;;;;;;;
PROV1049;Novorossiysk;;;;;;;;;;;;;
PROV1099;Alexandropol;;;;;;;;;;;;;
PROV1105;Yelizavetpol;;;;;;;;;;;;;
PROV1119;Ilam;;;;;;;;;;;;;
PROV1127;Esfahan;;;;;;;;;;;;;
PROV1128;Soltanabad;;;;;;;;;;;;;
PROV1136;Bushehr;;;;;;;;;;;;;
PROV1137;Eqlid;;;;;;;;;;;;;
PROV1138;Bandar-e Kangan;;;;;;;;;;;;;
PROV1141;Bandar-e Lengeh;;;;;;;;;;;;;
PROV1142;Bandar-e 'Abbas;;;;;;;;;;;;;
PROV1144;Faraj;;;;;;;;;;;;;
PROV1145;Bandar-e Jask;;;;;;;;;;;;;
PROV1168;Sharjah;;;;;;;;;;;;;
PROV1204;Ashqabad;;;;;;;;;;;;;
PROV1206;��rjew;;;;;;;;;;;;;
PROV1207;Dushanbe Qurghon;;;;;;;;;;;;;
PROV1208;Murghob;;;;;;;;;;;;;
PROV1211;Qonduz;;;;;;;;;;;;;
PROV1214;Farah;;;;;;;;;;;;;
PROV1215;Qandahar;;;;;;;;;;;;;
PROV1219;Zhob;;;;;;;;;;;;;
PROV1225;Skardu;;;;;;;;;;;;;
PROV2643;Laristan;;;;;;;;;;;;;
PROV2664;al-Khasab;;;;;;;;;;;;;
PROV3279;Viransehir;;;;;;;;;;;;;
PROV3292;Fallujah;;;;;;;;;;;;;
PROV3316;Ilisu;;;;;;;;;;;;;
PROV3323;Karimabad;;;;;;;;;;;;;
PROV3325;Tell Tamir;;;;;;;;;;;;;
PROV3348;Maku;;;;;;;;;;;;;
PROV3350;Qa'in;;;;;;;;;;;;;
PROV3352;Qasr-e Shirin;;;;;;;;;;;;;
PROV3355;Lash wa Juwayn;;;;;;;;;;;;;
PROV3356;Ghoryan;;;;;;;;;;;;;
PROV3386;Shamakhi;;;;;;;;;;;;;
PROV3389;al-Qa'im;;;;;;;;;;;;;
PROV3406;al-Jahra;;;;;;;;;;;;;
PROV3428;al-Raqqa;;;;;;;;;;;;;
PROV3495;Kermanshah;;;;;;;;;;;;;
PROV3496;Jiroft;;;;;;;;;;;;;
PROV3497;Tabas;;;;;;;;;;;;;
PROV3498;Abivard;;;;;;;;;;;;;
PROV3499;Sarakhs;;;;;;;;;;;;;
PROV3500;Qochen;;;;;;;;;;;;;
PROV3501;Gonbad-e Kavus;;;;;;;;;;;;;
PROV3502;Dehestan;;;;;;;;;;;;;
PROV3503;Parsabad;;;;;;;;;;;;;
PROV3504;Marand;;;;;;;;;;;;;
PROV3505;Balkhan;;;;;;;;;;;;;
PROV3506;Kharan;;;;;;;;;;;;;
PROV3507;Panjgur;;;;;;;;;;;;;
PROV3508;Pishukan;;;;;;;;;;;;;
PROV3509;Sandak;;;;;;;;;;;;;
PROV3510;Kacchi;;;;;;;;;;;;;
PROV3511;Zaranj;;;;;;;;;;;;;
PROV3512;Bampur;;;;;;;;;;;;;
PROV3513;Lashkargah;;;;;;;;;;;;;
PROV3514;Panjdeh;;;;;;;;;;;;;
PROV3515;Dubai;;;;;;;;;;;;;
PROV3516;Mazar-e Sharif;;;;;;;;;;;;;
PROV3517;Qaleh-ye Panjeh;;;;;;;;;;;;;
PROV3518;Qaleh-ye Wamar;;;;;;;;;;;;;
PROV3519;Kulab;;;;;;;;;;;;;
PROV3520;Gharm;;;;;;;;;;;;;
PROV3521;Qala-i Khumb;;;;;;;;;;;;;
PROV3522;Hissar;;;;;;;;;;;;;
PROV3523;Kafirestan;;;;;;;;;;;;;
PROV3524;Kohistan;;;;;;;;;;;;;
PROV3525;Gilgit;;;;;;;;;;;;;
PROV3526;Baghran;;;;;;;;;;;;;
PROV3527;Tashkurgan;;;;;;;;;;;;;
PROV3537;Mus;;;;;;;;;;;;;
PROV3536;Dogubeyazit;;;;;;;;;;;;;
PROV3535;Rize;;;;;;;;;;;;;
PROV3534;Yozgat;;;;;;;;;;;;;
PROV3533;Kalan;;;;;;;;;;;;;
PROV3532;Sinjar;;;;;;;;;;;;;
PROV3531;Divrigi;;;;;;;;;;;;;
PROV3530;Silvan;;;;;;;;;;;;;
PROV3529;Sar-e Pol;;;;;;;;;;;;;
PROV3528;Ghur;;;;;;;;;;;;;
PROV3538;Quetta;;;;;;;;;;;;;
PROV3390;Grozny;;;;;;;;;;;;;
PROV1055;Shali;;;;;;;;;;;;;
PROV3588;Ruidoso;;;;;;;;;;;;
PROV3589;Las Cruces;;;;;;;;;;;;
PROV2446;S�o Jo�o D'el-Rey;;;;;;;;;
PROV2449;Vict�ria;;;;;;;;;
PROV2462;Palmas;;;;;;;;;
PROV2457;Curityba;;;;;;;;;
PROV2420;Punta Por�;;;;;;;;;
PROV3556;Litani;;;;;;;;;
PROV3560;Durango;;;;;;;;;
PROV3567;Marabitanas;;;;;;;;;
PROV3444;Mantiqueira;;;;;;;;;
PROV2402;Manaus;;;;;;;;;
PROV3584;Planalto;;;;;;;;;
PROV1049;Anapa;;;;;;;;;
PROV2532;Uraricoera;;;;;;;;;
PROV2443;Diamantina;;;;;;;;;
PROV2407;Ilha de Bragan�a;;;;;;;;;
PROV2415;Forte de Tauregue;;;;;;;;;
PROV2986;Abrolhos Archipelago;;;;;;;;;
PROV2988;Riograndense Coast;;;;;;;;;
PROV969;Birzula;;;;;;;;;
PROV958;Kiev;;;;;;;;;
PROV971;Elisavetgrad;;;;;;;;;
PROV978;Kharkov;;;;;;;;;
PROV917;Al-Quds;;;;;;;;;
PROV916;Akka;;;;;;;;;
PROV918;Nabulus;;;;;;;;;
PROV919;Yafa;;;;;;;;;
PROV3357;Bir as-Sab;;;;;;;;;
PROV3474;Haifa;;;;;;;;;
PROV920;Gaza;;;;;;;;;
PROV3641;San Miguel;;;;;;;;;
PROV2347;Maldonado;;;;;;;;;
PROV3618;Chu�;;;;;;;;;
PROV3642;Merim;;;;;;;;;
PROV3643;Lagoa dos Patos;;;;;;;;;
PROV3644;Colonia;;;;;;;;;
PROV3326;Acre;;;;;;;;;
PROV3381;Jaru�;;;;;;;;;
PROV3435;Pur�s;;;;;;;;;
PROV2418;Cuyab�;;;;;;;;;
PROV2428;Parahyba;;;;;;;;;
PROV3328;Elbing;;;;;;;;;
PROV3329;Osterode;;;;;;;;;
PROV3327;Allenstein;;;;;;;;;
PROV623;Oberwart;;;;;;;;;
PROV3376;Ariari;;;;;;;;;
PROV909;Amman;;;;;;;;;
PROV908;Karak;;;;;;;;;
PROV278;Ucayali;;;;;;;;;
PROV3443;Sabar�;;;;;;;;;
PROV2442;Pitangui;;;;;;;;;
PROV2445;Uberaba;;;;;;;;;
PROV2444;Paracatu;;;;;;;;;
PROV3445;Itabira;;;;;;;;;
