Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
manchu;Jurchens;;;;;;;;;;;;
TKG;The Toyotomi Bakufu;;;;;;;;;;;;;
TKG_prussian_constitutionalism;Bakufu;;;;;;;;;;;;;
TKG_ADJ;Toyotomi;;;;;;;;;;;;;
TKG_prussian_constitutionalism_ADJ;Japanese;;;;;;;;;;;;;
TKG_hms_government;Bakufu;;;;;;;;;;;;;
TKG_hms_government_ADJ;Japanese;;;;;;;;;;;;;
TKG_constitutional_empire;The Shogunate of Japan;;;;;;;;;;;;;
TKG_constitutional_empire_ADJ;Japanese;;;;;;;;;;;;;
TKG_absolute_empire;The Shogunate of Japanese;;;;;;;;;;;;;
TKG_absolute_empire_ADJ;Japanese;;;;;;;;;;;;;
TKG_parliamentary_republic;Japan;;;;;;;;;;;;;
TKG_parliamentary_republic_ADJ;Japanese;;;;;;;;;;;;;
TKG_democracy;Japan;;;;;;;;;;;;;
TKG_democracy_ADJ;Japanese;;;;;;;;;;;;;
TKG_commonwelth;Most Pacific Republic of Japan
TKG_commonwelth_ADJ;Japanese;;;;;;;;;;;;;
TKG_fascist_dictatorship;Shogunate of Japan;;;;;;;;;;;;;
TKG_fascist_dictatorship_ADJ;Japanese;;;;;;;;;;;;;
TKG_presidential_dictatorship;Shogunate of Japan;;;;;;;;;;;;;
TKG_presidential_dictatorship_ADJ;Japanese;;;;;;;;;;;;;
TKG_proletarian_dictatorship;Japanese Councilary Republic;;;;;;;;;;;;;
TKG_proletarian_dictatorship_ADJ;Japanese;;;;;;;;;;;;;
KAG;Kanto;;;;;;;;;;;;;
KAG_ADJ;Kantese;;;;;;;;;;;;;
KAG_absolute_monarchy;Tokugawa;;;;;;;;;;;;;
KAG_prussian_constitutionalism;Tokugawa;;;;;;;;;;;;;
KAG_hms_government;Tokugawa;;;;;;;;;;;;;
KAG_absolute_monarchy_ADJ;Tokugawan;;;;;;;;;;;;;
