Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
PROV3648;An-Nafud;;;;;;;;;;;;;
PROV3649;Najd Desert;;;;;;;;;;;;;
PROV3650;Ad-Dahna;;;;;;;;;;;;;
PROV3651;Salima Desert;;;;;;;;;;;;;
PROV3652;Bilma Desert;;;;;;;;;;;;;
PROV3653;Kikchik;;;;;;;;;;;;;
PROV3654;Pontremoli;;;;;;;;;;;;;
PROV3655;Venaissin;;;;;;;;;;;;;
PROV3656;Couto Misto;;;;;;;;;;;;;
PROV3657;Inner Iceland;;;;;;;;;;;;;
PROV3658;Malbork;;;;;;;;;;;;;
PROV3659;Warmia;;;;;;;;;;;;;
PROV3660;Samland;;;;;;;;;;;;;
PROV3661;Dejima;;;;;;;;;;;;;
PROV3662;Frombork;;;;;;;;;;;;;
PROV3663;Pogibi;;;;;;;;;;;;;
PROV3664;Chelm;;;;;;;;;;;;;
PROV3665;Spisz;;;;;;;;;;;;;
PROV3666;Como;;;;;;;;;;;;;
PROV3667;Durlach;;;;;;;;;;;;;
PROV3668;Hechingen;;;;;;;;;;;;;
PROV3669;Lauenburg-Butow;;;;;;;;;;;;;
PROV3670;Diriyah;;;;;;;;;;;;;
PROV1086;Nogiki;;;;;;;;;;;;;
PROV554;Merseburg-Henneberg;;;;;;;;;;;;;
BEL_395;Luxembourg;;;;;;;;;;;;;
AUS_636;Transcarpathia;;;;;;;;;;;;;
RUS_716;Polesia;;;;;;;;;;;;;
SAX_687;Lusatia;;;;;;;;;;;;;
FRA_404;Artois;;;;;;;;;;;;;
